StateAbbr,State,County,CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,TotalPopulation,GenderMajority,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,IncomePerCapErr,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,MeanHealthCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment%_2019,Median Household Income_2019,% of State Median HH Income
GA,Georgia,Towns,13281,34.1,9.1,39.3,10.1,40.5,4,10.4,10.6,14.5,12.7,14.5,15.5,4.8,11173,F,5272,5901,1.5,95,1,0.3,0.2,0,9532,41182,22301,1424,22.6,30.3,24.8,26.5,9.2,9.2,79.8,9.8,0,3,2,5.4,19,34.04,3955,75.1,15,9.7,0.2,4.8,49023,0.791331719
GA,Georgia,Treutlen,13283,30.7,10.4,38.8,7.4,36.1,3.9,10.8,9.1,15.4,15.9,16.7,23.6,5,6752,M,3394,3358,2.1,68,29.6,0,0,0,5184,39375,20775,3149,34.1,23.2,24.1,16.4,14.3,22,75.1,21,0,0,1.7,2.2,26.1,41.89,2663,73.1,20.4,6.5,0,5.3,37478,0.604971751
GA,Georgia,Troup,13285,28.4,10.4,37.3,6.7,34.1,3.5,9.1,7.6,14.2,15.2,14.7,20,4.3,69433,F,33345,36088,3.7,57.3,35.1,0,1.9,0,50332,43597,22091,878,29.2,28.6,16,21.3,8.7,25.4,84.8,9.7,0.2,1.3,2.3,1.7,23.2,40.91,29630,82,13.6,4.3,0.1,3.2,47296,0.763454399
GA,Georgia,Turner,13287,32.4,10.6,40.9,7.6,37,4.3,11.1,9.9,17.6,16,17.5,23.6,5.5,8036,F,3937,4099,4.6,54.7,39.5,0.2,0.4,0,5894,42622,20302,1951,46,28.4,17.8,21.1,19.6,13,82.9,11.2,0.2,1,2.1,2.7,21.6,33.94,3191,71,25,4,0,3.8,35400,0.571428571
GA,Georgia,Twiggs,13289,36.1,11.1,46.4,8.2,40.6,4.7,12.7,11,19.8,16.2,19.3,25.3,6.3,8323,F,4101,4222,0.4,54.9,42.6,0,0.1,0,6658,30629,17485,1842,28.8,20.5,19.1,21.8,18.6,20,85,8.5,1.3,1.1,0.5,3.6,32.3,55.28,2591,76.3,16.9,6.8,0,5.4,44079,0.711525424
GA,Georgia,Union,13291,36,8.9,40.6,10.4,41.1,4,10.7,10.6,14.8,12.3,15.1,15,4.8,22262,F,10855,11407,3.1,94.2,0.8,0.4,0.7,0,18352,42767,26755,2811,25.2,31.5,18.4,23.2,17.4,9.6,82.7,8.8,0,1.4,1.1,6,22.4,43.03,7998,73.8,16.7,9.5,0,3.1,57049,0.920887813
GA,Georgia,Upson,13293,32.2,10.5,39.9,7.6,37.1,3.9,10.8,9.3,15.6,15.8,16.8,21.2,4.9,26241,F,12568,13673,2.3,67.6,28.5,0.3,0.5,0.1,20015,35375,19624,1247,33.2,29.1,17.4,23.3,10.4,19.9,83.3,13,0.4,0.2,1.7,1.4,23.3,38.69,9958,75.4,19.6,5,0,3.6,40926,0.660629540
GA,Georgia,Walker,13295,31.7,9.8,36.4,7.9,37.3,3.6,10.5,9,13.9,15.2,15.9,18.8,4.3,68609,F,33911,34698,2,91.4,4.3,0.1,0.6,0,52835,43581,22564,990,24.4,27.9,13.9,24.5,11.5,22.1,85.4,9.4,0.1,1,0.9,3.1,28.4,50.2,28821,81,13.1,5.7,0.1,3.6,47548,0.767522195
GA,Georgia,Walton,13297,26.9,9.3,34.3,7,35.2,3.1,8.3,7.2,12.4,14,13.5,15.6,3.7,88695,F,43120,45575,4,75.9,16.5,0.2,1.2,0.1,64874,55876,25184,797,18.5,28.5,15.3,27.8,14.4,14.1,82.3,11.6,0.1,1,1.1,3.9,32.3,67.24,39299,79.2,14.6,5.9,0.2,3.1,67007,1.081630347
GA,Georgia,Ware,13299,30.9,10.3,38.5,7.3,36.8,3.8,10.4,8.9,15.4,15.8,16.6,21.6,4.8,35688,M,17900,17788,4,63.8,29.5,0.4,1.1,0,26673,36962,19246,999,39.9,25.6,16.1,25.2,13.5,19.6,83.7,8.9,1.6,2.2,1.1,2.4,19.2,30.87,13208,74.6,18.5,7,0,3.7,37642,0.607619048
GA,Georgia,Warren,13301,35.7,11.4,47.6,8.1,39.4,5,12.3,11.1,20.8,15.9,19.3,26.8,6.7,5410,F,2534,2876,0.6,37.2,60.6,0,1,0.3,4197,32860,20712,2933,37.2,21.3,14.2,28,11.1,25.4,87.9,6.4,0.2,1.3,1.1,3.1,25.4,40.7,2104,74.3,18.2,7.5,0,4.5,37313,0.602308313
GA,Georgia,Washington,13303,30.9,10.7,42.9,7,36.7,4.2,10.3,9,17.3,15.8,17.1,23.7,5.4,20506,M,10343,10163,2.3,43.2,52.9,0,0.6,0,15650,38097,19238,1243,38.1,28.2,19.7,23.7,10,18.5,78.8,13.8,0.9,1.1,3.6,1.8,21.5,35.96,7631,73.6,20,6,0.4,4.1,41674,0.672703793
GA,Georgia,Wayne,13305,29.6,10.3,36.6,7.1,35.9,3.6,10.4,8.7,14.7,15.9,16.4,21.6,4.5,29833,M,15206,14627,6.2,71.2,19.5,0.1,0.5,0,21839,41534,19188,1109,26.4,30.8,16,20.7,16.1,16.3,84.7,8.8,0.3,0.8,3,2.4,23.4,41.3,10402,70.7,20.7,7.8,0.8,4,47382,0.764842615
GA,Georgia,Webster,13307,35.5,10.6,44.8,8.3,39,4.8,12,11.4,19.9,15.4,18.6,24.9,6.4,2627,M,1329,1298,2.1,48.4,48.8,0.1,0,0,1994,36658,22206,2794,26.3,29.7,15.3,21.9,12.6,20.4,92.8,4.1,0,0.9,1.9,0.3,25.8,43.1,1116,71.1,26,2.9,0,5,41547,0.670653753
GA,Georgia,Wheeler,13309,26.9,9.9,41,6,35.7,3.9,10.7,9.2,16.1,16.8,17.7,27.2,5.1,7952,M,5132,2820,1.6,56.1,41.7,0.3,0,0,6529,28490,11192,1459,43.3,14.3,20.5,17.6,19.5,28.1,91.4,2.6,0,2.6,1.3,2.2,24,37.92,1845,61.2,29.8,9,0,7.5,35927,0.579935432
GA,Georgia,White,13311,31.5,9.3,36.9,8.7,38.3,3.5,9.8,8.8,13.1,13.5,14.4,15.7,4.1,28509,F,13814,14695,3.1,92.5,2.1,0.1,0.5,0,22242,43944,23630,1617,29.7,30.5,19.1,25.9,9.9,14.7,83.8,9.9,0.2,1.2,1.2,3.7,27,50.88,11802,75.4,16.6,7.8,0.1,2.6,54786,0.884358354
GA,Georgia,Whitfield,13313,27.5,9.6,32.2,6.5,34.1,3.4,9.5,8.2,14,15.5,15.8,20.7,3.9,103963,F,51566,52397,34.2,59.5,3.9,0.1,1.4,0,62068,43871,22262,1031,28.5,22.2,11.8,22.4,9,34.6,84.7,10.8,0.1,1.1,1.6,1.7,20.5,38.08,46465,86.4,9.9,3.5,0.1,4.4,53115,0.857384988
GA,Georgia,Wilcox,13315,29.3,9.7,40.3,6.9,35.9,3.8,10.1,9.1,15.7,15.2,16.3,22.3,4.9,8896,M,5248,3648,4.3,58.5,35.3,0.3,0,0,7025,35457,15119,1632,30.6,28.7,23.8,16.5,16,15,85.6,8.1,0.5,1.7,1.1,3.1,27.2,44,2392,61,28.7,10.1,0.1,4.5,38261,0.617610977
GA,Georgia,Wilkes,13317,34.2,10.7,45.1,8.3,39.6,4.8,12,11,19.3,15.5,18.5,24.7,6.3,9905,F,4749,5156,4.6,51.1,42.5,0,0.8,0,7615,34234,21957,3139,46.5,24.1,23.8,15.3,9.9,26.8,80.6,12.1,0.2,3.5,0.6,3.1,25.2,41.36,3866,75.2,19,5.8,0,4.5,39716,0.641097659
GA,Georgia,Wilkinson,13319,33.5,10.5,43.2,7.9,37.9,4.3,11.2,9.9,17.6,15.5,17.5,22.9,5.6,9147,F,4385,4762,2.7,56.8,38.2,0.1,0,0.1,6922,38711,19823,1151,31.4,23.1,16.5,26.1,16.5,17.7,85.5,9,0.2,1.6,1,2.8,26.3,44.94,3224,78.6,16.6,4.8,0,3.8,43902,0.708668281
GA,Georgia,Worth,13321,30.2,10.4,41,7.7,37.8,3.9,10.6,9.1,15.5,15.4,16.4,20.6,4.9,20809,F,10171,10638,2,67.4,28.2,0.5,0.3,0,15850,40369,20783,1207,32,27.1,16.5,23.2,15.3,17.8,87.1,6.6,0,0.3,1.4,4.6,26.3,44.62,8153,75.6,17.1,7.3,0,3.9,43142,0.696400323
TN,Tennessee,Anderson,47001,35.6,10.2,39.2,8.3,40,3.4,10.7,9.2,13.7,15.9,16.2,17.7,4.2,75538,F,36803,38735,2.7,89.6,3.4,0.1,1.4,0.1,58291,47206,26972,1169,24.8,33.6,19,23.6,10.1,13.7,86.8,8.4,0.1,0.8,0.9,3,23.3,44.49,32213,76.1,17,6.8,,3.6,50973,0.909468839
TN,Tennessee,Bedford,47003,33.7,10.7,40.5,7.2,38.7,3.3,10.9,8.7,13.6,17.6,17.4,21.5,4.1,46854,F,23127,23727,11.8,77.8,6.6,0.1,0.4,0.1,32634,47117,22953,1446,23.4,24.7,14.8,21.5,12,27,81.8,12.6,0.1,1.1,1,3.5,25.1,47.73,21387,78.5,12.7,8.6,,3.7,50539,0.901725338
TN,Tennessee,Benton,47005,40.9,11.2,45.7,9,43.8,4.3,14.5,12.1,17,18,21,23.9,5.4,16154,F,7794,8360,2.2,93.2,3.4,0.3,0,0,12823,33702,21282,1224,28.4,23.2,19.3,21.3,12.2,23.9,87,9.7,0.3,0.2,1.7,1.1,24.4,42.82,5721,72.5,20.2,7.3,,4.5,42322,0.755116242
TN,Tennessee,Bledsoe,47007,36.2,10.7,42.8,7.6,40.9,3.6,12.6,10.4,15,18.1,19.3,23.4,4.6,14413,M,8385,6028,2.1,89.2,4,1.1,0.3,0,11715,40450,21402,2589,26.3,25.5,15.1,18.8,19,21.6,76.6,13.8,0.6,3.9,1,4.1,30.4,53.58,5270,70.1,19.5,10.4,,5.4,42730,0.762395846
TN,Tennessee,Blount,47009,35.3,10.3,38.9,8.3,38.3,3.2,10.1,8.6,12.5,15.5,15.6,16.6,3.9,127135,F,61640,65495,3.1,91.4,2.5,0.3,0.7,0.1,98074,51172,28334,1200,19.4,32.8,15.9,26.3,10.5,14.5,85.6,8.5,0.2,0.8,1,4,24.8,51.07,58333,81.7,11.5,6.6,,3.2,59368,1.059253841
TN,Tennessee,Bradley,47011,34.5,10.7,36.7,7.6,37.8,3.2,10.3,8.6,13.2,16.9,16.6,18.5,3.9,103666,F,50468,53198,5.8,86.5,4.9,0.1,1.1,0,76964,46381,25144,955,26.2,31.9,16.9,22.4,10.1,18.8,83.7,8.8,0.3,2.2,1.2,3.8,21.1,40.88,46406,82.5,10.5,6.7,,3.5,52534,0.937320463
TN,Tennessee,Campbell,47013,38.2,11.3,43.7,8.5,41.8,3.9,13.9,11.1,15.7,18.6,20,24.7,5,39824,F,19411,20413,1.2,96.6,0.5,0.3,0.4,0,31601,35377,21282,1472,31.1,23.5,17,24.1,15.7,19.7,84.9,11.6,0.1,0.9,0.3,2.3,27.1,47.65,15080,77.9,14.7,7.3,,4.6,42500,0.758292148
TN,Tennessee,Cannon,47015,35.5,10.6,40.9,7.9,40.8,3.4,11.8,9.5,13.8,17.6,17.8,21.1,4.3,13839,F,6738,7101,2,94.5,1.5,0.5,0.1,0,10692,47457,24595,3584,24.5,28.9,10.7,25.7,12.7,22,84.4,9,0,1,0.2,5.4,33.4,64.96,6072,74.6,13,12.4,,3.1,52960,0.944921227
TN,Tennessee,Carroll,47017,36.6,10.9,42.5,8.1,40.6,3.7,12,10,14.8,17.4,18,22,4.7,28137,F,13758,14379,2.4,84.9,9.8,0.3,0.3,0.1,21918,38201,20557,1239,23.7,28,17.5,21,11.9,21.5,87,5.5,0.1,2.2,2.5,2.7,23.9,42.35,11050,75.5,17.1,7.1,,4.8,43258,0.771816511
TN,Tennessee,Carter,47019,38.5,11.1,43.8,8.5,42.4,4,13.3,11.2,15.8,17.8,19.4,22.8,5,56500,F,27736,28764,1.7,95.1,1.4,0.3,0.4,0,45385,34625,21001,1132,36.4,27.4,21.2,22.9,11.1,17.5,86.7,6.2,0.2,1.3,1.4,4.4,23.8,40.77,22819,75.3,16.6,8.1,,4.1,39964,0.713044409
TN,Tennessee,Cheatham,47021,32.9,10.2,37.2,7.4,38.1,2.9,9.9,7.8,11.9,16.3,15.5,16.6,3.5,39713,F,19642,20071,2.7,93.4,1.3,0.2,0.5,0.3,30264,56150,25673,962,18,32.3,16,21.9,13.2,16.5,84,9.1,0.4,1,1.2,4.4,32,67.85,19170,76.4,14.5,9,,2.6,62786,1.120238371
TN,Tennessee,Chester,47023,33.1,10.7,39,7.4,38.1,3.2,10.2,8.4,12.8,17.5,16.2,19.1,3.9,17097,F,8199,8898,2.4,86,9.7,0,0.5,0,12924,43740,20497,1533,22.9,33,14.8,24.8,10.6,16.8,84.1,8.3,0.2,2.7,1.7,3,24.8,47.26,7009,78.1,15.5,6.4,,3.4,50769,0.905829036
TN,Tennessee,Claiborne,47025,37.4,10.9,42.1,8.1,40.8,3.7,12.7,10.2,15,18.4,19.2,22.5,4.6,31566,F,15284,16282,1.2,95.6,1,0.1,0.6,0.1,25282,35428,20184,1101,30.5,29,16.8,18.3,13.9,22,85.1,9.6,0.1,1,0.6,3.8,24.5,42.04,11893,79.5,12.6,7.6,,4.2,40116,0.715756419
TN,Tennessee,Clay,47027,42.3,11.3,46.8,9.2,44.9,4.6,15.5,13.1,18.2,18.6,22,26.5,5.9,7684,F,3777,3907,1.6,94.8,2.1,0.7,0.5,0,6110,30801,17667,1713,33.8,27.6,21.2,15.6,13.7,21.9,88.8,6.5,0.1,1.1,0.5,3,27.9,46.17,2568,74,17.5,8.1,,6,36694,0.654700519
TN,Tennessee,Cocke,47029,39.2,11.5,44.5,8.6,43.9,4.1,14.6,11.6,17,19,21.1,25.1,5.3,35262,F,17221,18041,2.2,93.6,1.6,0.4,0,0,27897,32027,20189,1255,39.9,22.4,23.5,22.7,9.3,22,84.6,10.8,0,0.9,1.2,2.4,28.4,48.94,14192,78.4,13.8,7.6,,4.5,40528,0.723107392
TN,Tennessee,Coffee,47031,34.2,10.5,39.4,7.9,38.5,3.3,10.7,8.9,13.3,16.7,16.6,18.8,4,54074,F,26397,27677,4.1,89.2,2.1,0.1,0.9,0,40175,46614,24748,1286,21.7,28.2,13.2,22.8,11.2,24.7,85.7,8.7,0,1.3,0.6,3.6,23.1,45.74,23291,77.3,14.8,7.7,,3.3,54931,0.980088140
TN,Tennessee,Crockett,47033,37.1,11.1,43,7.9,40.2,3.9,12.2,10.1,16.1,17.8,19.2,23.3,4.9,14554,F,6915,7639,10.1,74.7,13.2,0.2,0.2,0,10593,39692,21056,1292,24.1,30,14.8,24.2,12.2,18.9,90.8,6,0,0.9,0.4,1.9,23.2,42.09,6048,79.4,14.1,6.4,,3.5,45642,0.814352240
TN,Tennessee,Cumberland,47035,42.4,10,47.3,10.1,44.6,4.1,12.7,11.9,15.9,15.3,18.1,18.6,5.1,58178,F,28515,29663,2.8,94.7,0.7,0.5,0.6,0,47055,40994,23668,915,24.8,27.3,18.5,23.4,11.9,19,84.3,10.5,0.2,1.1,0.8,3.2,22.2,41.66,20741,77.5,13.4,8.3,,4.5,49142,0.876799829
TN,Tennessee,Davidson,47037,25.9,10.1,34.4,5.9,32.3,2.8,7.1,6.1,10.6,15.1,13.3,15.3,3.2,678322,F,327080,351242,10.1,56.4,27.3,0.3,3.5,0.1,483926,53419,32347,431,27.8,40.6,16.9,24.1,7.3,11.1,79.2,9.8,2.1,2,1.2,5.7,24.5,52.41,364089,82.4,10.5,6.9,,2.5,63846,1.139151070
TN,Tennessee,Decatur,47039,39,10.7,45.1,9,43.3,4.1,13.3,11.4,16.2,16.9,19.3,21.9,5.1,11681,F,5744,5937,3.2,91.7,2.9,0,0.3,0,9127,36427,21098,1566,34.3,30,18.7,20.6,12.5,18.1,82.4,9.2,0.3,0.9,1.7,5.5,26.9,48.6,4497,67.4,20.6,11.4,,5.3,45215,0.806733634
TN,Tennessee,DeKalb,47041,36.1,10.6,40.4,8,40.3,3.5,11.8,9.6,14.2,17.1,18,20.8,4.3,19380,M,9705,9675,7.6,88.9,1.3,0,0.6,0.1,14244,40690,25443,2963,30.6,33.1,10.3,17.6,7.9,31.1,80.9,16.1,0,0.6,1.1,1.3,27.9,51,8003,77.5,16.5,5.7,,4.3,46407,0.828001499
TN,Tennessee,Dickson,47043,34.4,10.6,39.4,7.5,38.3,3.2,10.8,8.6,13,17.1,16.6,19.4,4,51341,F,25100,26241,3.3,89.9,3.9,0.3,0.4,0,38651,47398,25211,1889,19.1,28.9,16.1,24.6,13.1,17.4,81.8,11.3,0.6,2.1,0.8,3.3,31.7,65.14,22454,80.1,13.3,6.6,,3,59126,1.054936036
TN,Tennessee,Dyer,47045,35.5,10.9,41.8,7.7,38.8,3.6,11.4,9.5,14.7,17.4,17.7,20.9,4.4,37751,F,18201,19550,3.3,80.3,13.4,0.4,0.7,0.1,28280,44386,24695,1974,24.1,30.5,18.2,19.6,8.3,23.5,89.1,6.5,0,0.7,1,2.7,20.2,37.78,16155,78.1,15,7,,4.9,48770,0.870162542
TN,Tennessee,Fayette,47047,36.6,10.5,44.2,8.3,39.9,3.6,10.3,9.3,15.8,15.1,16.3,17.3,4.5,39336,F,19329,20007,2.5,68.3,27.7,0.3,0.7,0,30999,57919,30471,1380,22.1,33.9,13,24.9,12.7,15.5,86.4,7.3,0,0.5,1.4,4.3,33.1,72.87,17508,79.6,12.5,7.8,,3.6,67345,1.201580816
TN,Tennessee,Fentress,47049,39.6,11.3,45.6,8.7,43.9,4.2,14.7,11.9,16.6,18.7,21,25.2,5.4,17940,F,8846,9094,1.4,96.7,0.2,0.1,0.4,0,13992,32616,18171,1514,28.4,21.2,25.4,18.2,16,19.2,80.4,11.4,0.1,1.6,0.7,5.7,23.2,39.18,6577,68.9,17.4,13,,4.2,38608,0.688850429
TN,Tennessee,Franklin,47051,35.1,10.4,39.7,8,40.6,3.4,10.5,9.2,13.3,16.2,15.9,17.4,4.1,41397,F,20224,21173,3.2,88.8,4.9,0.2,0.6,0,32345,46882,25637,1393,17.4,29.5,16,21.7,11,21.8,82.1,10.9,0,3.7,0.8,2.4,22.4,44.11,17632,77.9,16.4,5.6,,3.3,54319,0.969168733
TN,Tennessee,Gibson,47053,35.3,10.9,41.9,7.9,39.5,3.6,11.2,9.5,15.1,17,17.4,20.7,4.6,49222,F,23447,25775,2.6,76.8,17.7,0.4,0.3,0.1,36905,41315,21858,869,25.8,29.4,19,24.2,8.9,18.3,89.3,6,0.1,1.2,2,1.5,23.2,42.4,20523,80.1,12.2,7.5,0.2,4.2,46384,0.827591129
TN,Tennessee,Giles,47055,36.1,10.6,43.3,8.2,40.7,3.6,11.5,9.6,14.5,16.6,17.4,20.2,4.5,29024,F,14119,14905,2,84.8,9.8,0,0.6,0,22652,43925,22994,1238,18.9,25.7,17,19.8,10,27.5,84.1,9.8,0,1.7,1.7,2.7,25.7,49.02,12368,76.9,15.1,7.9,0.2,3.9,50847,0.907220725
TN,Tennessee,Grainger,47057,38.2,11,42.7,8.4,42.3,3.8,13.3,10.6,15.2,17.9,19.4,22.7,4.8,22942,F,11383,11559,3,94.9,0.4,0.3,0.3,0,17764,40088,20966,1058,24.7,24.9,15.6,19.4,16.5,23.6,79.2,13.7,0.5,1.2,0.7,4.7,32.9,59.27,9482,75.5,13.8,10.6,0.2,4,44929,0.801630774
TN,Tennessee,Greene,47059,37,10.9,43,8.7,42.1,3.7,12.6,10.6,15.5,17.2,18.6,21,4.7,68520,F,33482,35038,2.7,93.3,2.2,0.3,0.4,0,54291,38266,21960,1081,23.9,27.7,18.3,22.4,8.5,23.2,86.1,7.7,0,1.2,1.8,3.2,22.8,41.1,28001,77,16,6.6,0.3,4.7,44975,0.802451514
TN,Tennessee,Grundy,47061,39.1,11.5,45.2,8.5,43.5,4.1,14.6,11.5,16.3,19.2,21,26.3,5.3,13359,F,6575,6784,1.2,81.2,0.5,0.1,0.2,0.1,10299,31919,15824,1127,38.8,21.5,20.5,17,16.6,24.4,82.4,7.5,0,3.2,0.7,6.2,28.1,47.38,4172,73.8,14.8,11.2,0.2,4.1,38447,0.685977840
TN,Tennessee,Hamblen,47063,36.5,10.9,40.6,8,40.5,3.6,11.9,9.8,14.5,17.6,18.2,22.1,4.4,63465,F,31109,32356,11.5,81.9,3.4,0.1,1,0,45559,42042,21962,1135,28.9,27.6,15.7,21.3,8.8,26.6,84.3,10.3,0.2,0.2,2.2,2.9,22.1,40.57,26084,83.7,10.6,5.5,0.1,3.9,46842,0.835762842
TN,Tennessee,Hamilton,47065,31.3,10.5,38.6,7.5,38.1,3.2,8.9,7.8,12.9,15.1,15,14.7,3.7,354589,F,170993,183596,5.3,71.4,19.3,0.1,2,0,270508,50273,29711,628,21.4,38.3,16.2,25.4,6.8,13.4,82.7,8.1,1,2.2,1,5,21.4,43.47,167211,80.5,13.3,6,0.2,3.2,57802,1.031313005
TN,Tennessee,Hancock,47067,40.3,11.4,44.2,8.6,43,4.1,14.8,11.8,16.5,19.1,21.2,25.8,5.3,6605,F,3273,3332,0.9,97.1,0.5,0.7,0.3,0,5189,29619,19396,2655,32.8,24.5,21.4,16,16,22.2,81.5,10.2,1.8,1.6,1.2,3.6,34.3,53.85,2268,69.9,18.6,11.5,0,5.9,31938,0.569843167
TN,Tennessee,Hardeman,47069,35.4,11.6,46.5,7.1,39.9,4.1,12.2,10.2,18,18.4,19.8,26.1,5.4,25784,M,14076,11708,1.7,54.7,41.5,0.3,0.7,0,20580,36686,16938,1003,27.3,27.6,20.3,17.6,8.1,26.3,83.8,9.9,0.2,0.5,0.4,5.2,28.7,49.69,8181,68.3,25,6.7,0,5,40989,0.731332632
TN,Tennessee,Hardin,47071,39.9,10.9,44.1,8.8,42.8,4,13.2,11.1,15.9,17.2,19.1,22.1,5,25813,F,12669,13144,2.3,92,3.7,0.1,1,0.1,20190,39092,23328,1910,28.4,24.2,19.1,22.9,11.4,22.5,82.9,6,0.3,0.7,1.8,8.4,24.4,43.78,9716,71.8,16.8,11.2,0.1,4.3,44510,0.794154906
TN,Tennessee,Hawkins,47073,39.1,10.8,43.5,8.5,41.6,3.7,12.7,10.4,14.9,17.3,18.6,21.9,4.7,56402,F,27525,28877,1.4,95.3,1.3,0.2,0.5,0,44330,38728,22141,1103,30.1,23.9,19.6,22.6,11.5,22.4,89,6.8,0.6,0.3,1.1,2.2,25.3,46.34,21867,80.7,13,6.3,0,4.1,46602,0.831480722
TN,Tennessee,Haywood,47075,37.6,11.9,48.5,7.6,39.4,4.2,11.9,10,19,17.4,19.3,24.3,5.6,17944,F,8404,9540,4.3,44.4,50,0,0.1,0.1,13622,36118,21453,2276,26.9,22.8,18.6,23.4,9.2,25.9,88.7,7.9,0,0.6,1.3,1.4,22.8,38.64,7686,76.6,17.2,6.2,0,4.9,38950,0.694952451
TN,Tennessee,Henderson,47077,37.7,11.2,42.5,8,40.1,3.7,12.3,9.9,15.1,18,18.6,21.7,4.6,27889,F,13446,14443,2.2,87.6,8,0,0.2,0,21226,42711,21344,1461,28,29.3,14.5,21.4,12.9,21.9,85.8,8.3,0.2,1,1,3.7,26.5,48.64,11255,75.7,17.5,6.8,0,4.3,46826,0.835477367
TN,Tennessee,Henry,47079,38.3,10.7,44.5,8.9,41.8,4,12.7,11,16,16.8,18.8,21.6,5.1,32263,F,15627,16636,2.3,87.5,9,0.2,0.1,0,25308,40415,22952,1505,30.7,27.1,16.4,24.7,9.2,22.7,86,6.3,0,1.2,2.6,3.9,20.9,36.99,12680,74.8,14.8,10.1,0.3,4.1,43159,0.770050136
TN,Tennessee,Hickman,47081,35,10.7,41.2,7.6,39.6,3.4,11.8,9.5,14,17.8,17.8,21.6,4.3,24502,M,12830,11672,2.3,90.6,5,0,0.2,0,18999,39333,20936,3200,24.6,25.4,17.1,20.3,16.2,21.1,79.4,11.3,0.3,2,2.6,4.4,36.3,66.21,9659,74.9,14.9,10.1,0.1,3.1,46176,0.823879958
TN,Tennessee,Houston,47083,38.2,11.1,43.2,8.4,41.9,3.7,12.8,10.4,14.9,18,19,22.9,4.8,8188,M,4106,4082,0.8,92.2,4,0.5,0.3,0,6313,41820,20819,2459,26.9,17.5,21.1,18.3,17.1,26,82.1,11,0.3,3,0.4,3.2,34.4,59.51,3049,69.9,20.2,9.8,0.1,4.6,40915,0.730012311
TN,Tennessee,Humphreys,47085,36.3,10.5,42.2,8.3,41.2,3.6,11.9,10,14.3,17,17.8,20.6,4.5,18281,F,8985,9296,2.3,92.9,3.6,0.4,0.2,0.1,14310,40998,23498,1812,26.6,30.5,15.3,18.6,12.6,23,86.1,9.9,0,0.8,1.4,1.8,27.5,53.07,7202,75.3,16.4,8.2,0.2,3.8,52121,0.929951648
TN,Tennessee,Jackson,47087,39.9,11,45.2,8.7,43.9,4,13.9,11.5,16,17.9,20.1,23.1,5.1,11573,M,5827,5746,1.9,95.7,0.6,0,0,0,9372,33933,18643,1366,37.6,24.7,16,21.6,17.6,20,87.5,8.3,0,1.2,0.9,2.1,32,55.84,4106,73.1,17.5,8.4,1.1,4.6,41749,0.744892679
TN,Tennessee,Jefferson,47089,36.6,10.4,40.7,8.3,39.9,3.5,11.4,9.5,14.1,16.9,17.5,19.8,4.3,52887,F,25886,27001,3.5,92.5,1.8,0.2,0.6,0,40981,45641,23724,1510,18.2,26.2,19.1,23.5,10.4,20.7,78.3,14.2,0.3,1.6,0.9,4.7,25.8,48.97,23110,77.3,15.2,7.5,0.1,3.7,50332,0.898032009
TN,Tennessee,Johnson,47091,39.6,10.8,44.7,8.6,42.1,4,13.8,11.4,15.8,18,19.9,24.4,5.1,17846,M,9625,8221,1.9,92.2,3.8,0.5,0.4,0,14576,32994,19183,1778,39.1,25.8,18.3,23.7,14.3,17.9,84.5,7.2,0.6,1.3,1.8,4.7,24.8,42.6,5595,67,23.4,9.5,0.2,3.5,40219,0.717594162
TN,Tennessee,Knox,47093,29.2,10,34.4,7.2,35.3,2.9,8.3,7.2,11.5,15.4,13.5,15.5,3.3,452286,F,219839,232447,4,82.7,8.8,0.2,2.1,0,344306,52458,30541,503,19.9,40.5,17.3,25.4,6.8,10,83.9,7.7,0.7,1.8,1,4.9,21.9,45.47,222748,79.1,14.3,6.4,0.1,2.9,60316,1.076168216
TN,Tennessee,Lake,47095,32.8,10.9,43.9,6.5,38.3,3.7,12,9.6,15.5,19,19.3,27.4,4.8,7588,M,4761,2827,2.2,67.1,29.1,0.1,0.2,0.1,6383,31993,14232,1553,,24.4,26.8,19.4,9.1,20.4,81.9,8.8,0,4.9,1.8,2.6,18.7,30.06,1906,59.5,31.7,7.8,1,5.7,34059,0.607686406
TN,Tennessee,Lauderdale,47097,36.7,11.7,47.1,7.1,40.4,3.9,12.4,9.8,17,19.2,20.4,26.1,5.2,26497,M,13524,12973,2.4,60.9,33.6,0.6,0.4,0,20052,35551,17178,875,30.5,24.2,21,21.1,9.2,24.4,89.5,6.3,0.5,1.5,0.9,1.3,23.7,42.11,9096,71.2,21.7,6.8,0.3,5.4,43545,0.776937213
TN,Tennessee,Lawrence,47099,34.8,10.9,41.1,8,40.4,3.6,12.4,10.2,14.5,18.1,18.6,22.2,4.5,42591,F,20989,21602,2,94,1.9,0.2,0.4,0,31675,41522,19879,692,26.6,25.7,15.8,19.2,13.6,25.7,85.4,9.6,0.2,1.4,1.4,2,27.7,49.17,16277,77.1,14.9,7.8,0.2,4.1,43448,0.775206523
