StateAbbr,State,County,CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DIABETES,MHLTH,PHLTH,TEETHLOST,STROKE,TotalPopulation,GenderMajority,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,IncomePerCapErr,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,MeanHealthCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment%_2019,Median Household Income_2019,% of State Median HH Income
GA,Georgia,Lowndes,13185,25.3,10.4,32.7,5.6,31.4,3.2,7.9,6.7,13,16.3,13.8,18.8,3.8,113941,F,55796,58145,5.4,54.5,36.1,0.2,1.9,0,83763,39911,21199,992,30.6,30.9,20,28.4,8.8,11.8,85.3,8.8,0.4,1.7,1.2,2.6,19.2,33.6,46445,77.2,18.5,4.1,0.2,3.5,46450,0.749798224
GA,Georgia,Lumpkin,13187,27.1,9.6,31.4,7,34.1,3.1,8.9,7.7,11.4,15.4,13.7,16.8,3.6,31567,F,15502,16065,4.7,90.8,2.1,0.7,0.4,0,25045,43039,23364,2071,18.8,28.8,20.8,24.1,11,15.3,85.2,7.1,0.2,3.2,0.9,3.5,28.7,55.14,14549,74.1,17.7,7.7,0.5,3.1,57078,0.921355932
GA,Georgia,McDuffie,13189,31.4,10.9,41,7.4,37.1,4.1,10.9,9.3,17,16.1,17.3,23.4,5.3,21488,F,10028,11460,2.9,54.2,40.3,0,0.5,0.8,15663,40469,20436,1296,44.7,29,17.7,21.2,11,21,88.2,7.1,0,0.3,2.1,2.3,26.5,45.52,8204,80.5,16,3.4,0.2,5.1,44473,0.717885391
GA,Georgia,McIntosh,13191,35.5,9.9,43.5,8.9,39.7,4.3,10.7,10.3,17.9,13.7,16.4,19.3,5.5,14061,F,6896,7165,1.5,61.7,35.1,0.1,0,0.1,11486,43285,25226,2532,29.7,23,17.9,27,13.2,18.9,80.1,12.8,0,1.6,0.2,5.3,29.1,51.03,5716,77.7,16.6,5.8,0,3.6,46682,0.753543180
GA,Georgia,Macon,13193,31,11.1,44.7,6.6,36.5,4.4,11.2,9.6,19.4,16.7,18.3,27,5.9,13675,M,7563,6112,4.2,32.6,59.3,0.4,1.6,0,10837,30851,15919,1508,39.2,19.6,20.6,19.1,11.1,29.6,74.6,14,0.1,2.8,3.7,4.7,27.3,42.56,4524,71.3,20.4,8,0.2,4.6,34634,0.559063761
GA,Georgia,Madison,13195,29.9,9.8,36.2,7.5,37.1,3.4,10,8.4,13.6,15.1,15.2,18.3,4.1,28600,M,14345,14255,4.9,82.9,8.6,0.3,1.4,0,21380,47653,22885,1361,24.1,29.7,15.1,22,13.8,19.3,83,10.3,0.2,0.9,1.6,4,26,47.96,12065,72.9,18.7,8.2,0.2,3,52326,0.844648910
GA,Georgia,Marion,13197,32.4,10.4,42.5,7.9,39.2,4.2,11.3,10,17.4,15.3,17.3,22.3,5.5,8558,F,4207,4351,1.7,59.2,35.7,0,0.7,0.5,6543,39015,20154,2352,36,28.5,13.5,20.9,18.5,18.6,82.6,9.5,1.2,0,3.6,3.2,32.3,53.78,3413,64.8,27.6,7.7,0,4.2,41190,0.664891041
GA,Georgia,Meriwether,13199,34,10.9,42.6,7.8,37.8,4.2,11.2,9.7,17.5,15.7,17.5,22.7,5.5,21152,F,10134,11018,2.1,56.3,38.4,0.2,0.6,0,16365,36368,19679,1348,31,23.7,16,19.8,16.5,24,80.4,14,0.6,1.9,1,2.1,33,56.21,8165,75.2,16.8,7.6,0.5,4.5,43571,0.703325262
GA,Georgia,Miller,13201,33.1,10.1,41.4,8.5,38.3,4.2,10.9,10,16.1,14.8,16.5,20.5,5.3,5884,F,2885,2999,0.4,68.4,30.3,0.8,0,0,4518,37255,21002,2033,37.1,28.8,23.2,20.6,14.1,13.2,85.7,8.1,1.4,1,2,1.7,24.3,40.68,2368,63.1,26,10.9,0,3.3,41769,0.674237288
GA,Georgia,Mitchell,13205,31,10.9,41.6,6.8,37.1,4.1,10.9,9.1,17.4,16.6,17.6,26.2,5.4,22574,M,11748,10826,4.4,46.3,47.5,0.1,0.3,0.1,16796,34122,16088,896,39.5,27.2,19.3,21.5,10.4,21.6,77.8,16.4,0.1,2.2,1.7,1.8,23.5,37.68,7927,74,18.7,7.1,0.2,4.6,37383,0.603438257
GA,Georgia,Monroe,13207,29.8,9.4,37.1,7.7,36.4,3.4,8.9,8,13.5,13.6,14.1,16.4,4.1,26795,M,13475,13320,2.4,72.1,23.6,0.1,0.8,0,20853,50666,30359,5406,10.9,36.8,15.8,24.1,10.2,13,85.2,10.1,0.5,0.9,1.1,2.3,26.3,56.22,11047,73.7,19.9,6.2,0.2,3.2,70488,1.137820823
GA,Georgia,Montgomery,13209,28.3,10,36.6,6.9,35,3.5,9.6,8.2,14.3,15.5,15.3,20.2,4.4,8962,M,4593,4369,6.5,64.5,26,0.2,0.3,0,6655,40308,20114,1479,27,29.1,19.9,19.7,14.9,16.4,83.7,11.2,0.1,2.3,1.7,1,21.3,36.31,3511,79.1,15.2,5.7,0,5.3,43657,0.704713479
GA,Georgia,Morgan,13211,29.5,9.4,37.4,8.1,36.4,3.4,8.6,7.9,13.5,13,13.5,15.7,4.1,18013,F,8558,9455,3.1,71.6,23.5,0.1,0.1,0,13731,59572,28830,2466,19.2,31.1,15.6,22.1,12.8,18.5,77.9,11.9,0.1,1.4,1.6,7.1,25.9,53.95,8011,75.5,17.8,6.7,0,3.1,67089,1.082953995
GA,Georgia,Murray,13213,30.2,10,34.1,7,36.6,3.4,10.7,8.5,13.7,16.5,16.6,22.1,4.1,39444,F,19397,20047,14.3,83.3,1,0.1,0.4,0,27426,41617,19084,913,26.6,17,14.6,23.6,13.2,31.7,87.8,8.8,0.2,1.6,1,0.7,27.3,49.36,16748,85.6,11.3,3,0.2,5,50061,0.808087167
GA,Georgia,Muscogee,13215,27.7,9.9,36.9,6.1,31.6,3.4,7.6,6.9,14.3,14.9,13.8,18.1,4,198647,F,97309,101338,7.5,41.1,45,0.3,2.4,0.2,144186,43239,24604,681,31.2,33.3,19.9,26.7,7,13,79.7,9.8,1.5,1.3,2,5.8,20,35.18,79022,75.7,20.2,4,0.1,4.5,47035,0.759241324
GA,Georgia,Newton,13217,26.8,10.3,36.3,6.4,32.5,3.3,8,6.8,14.1,14.6,13.9,17.9,4,105042,F,49940,55102,5.1,48.7,42.6,0.2,1,0.1,74150,52784,23611,842,24.4,28.9,17.6,25.2,10.3,18.1,82.2,11.3,0.6,0.6,1.6,3.8,31.5,61.1,46324,79.2,15.7,4.8,0.3,3.9,58222,0.939822437
GA,Georgia,Oconee,13219,24.2,8.1,30.5,7.4,33.5,2.5,5.8,5.8,9.4,10.7,9.9,9,2.7,35972,F,17661,18311,4.8,84.9,5.4,0.1,4.1,0,25358,77388,38639,2369,10.2,53.5,12.6,20.1,5.2,8.6,85.2,8,0,0.4,0.6,5.9,23.5,61.77,16944,71.1,22.6,6,0.3,2.5,100878,1.628377724
GA,Georgia,Oglethorpe,13221,31,9.9,38,7.7,37.3,3.7,10.2,8.9,14.5,15.1,16,19.3,4.5,14654,M,7362,7292,4.1,75.9,18,0.1,0.3,0,11190,43938,21858,923,30.6,30.4,13.6,19.3,13.7,23,85.6,9.1,0.2,0.7,0.6,3.8,28.5,53.5,6390,70.9,23.7,5.5,0,3.2,54346,0.877255851
GA,Georgia,Paulding,13223,25.2,9.2,31.1,6.1,31.2,2.6,6.9,5.7,10.4,13.8,12.1,14.1,3,152399,F,74560,77839,5.8,73,17.9,0.2,0.9,0,107261,63669,26636,734,12.9,34.6,14.4,28.3,11.1,11.7,84.3,8.4,0.5,0.5,0.6,5.8,37.7,84.3,74446,80.8,13.9,5.3,0.1,2.9,76580,1.236158192
GA,Georgia,Peach,13225,27.4,10.4,37.1,6.7,34,3.6,8.7,7.8,14.7,15.2,14.8,19,4.4,27027,F,12992,14035,7.5,46,44.4,0.1,1.1,0.1,20338,43645,22388,1171,26.3,29,17.9,23,17.7,12.5,79.2,13.4,1.8,3.2,0.8,1.7,22.7,40.95,11282,73.2,23.9,2.9,0,4.1,49815,0.804116223
GA,Georgia,Pickens,13227,30.9,9.1,34.8,8.5,37.8,3.3,9.2,8.4,12.7,13.2,13.7,14.4,3.8,30343,F,15046,15297,3,93.6,0.5,0,0.5,0,23726,61542,29460,1768,10.6,31,15.5,25.7,14.9,12.8,78.5,10.4,0.5,0.9,1.7,8,31.7,65.57,12994,80.5,12,7.5,0.1,3,66183,1.068329298
GA,Georgia,Pierce,13229,29.9,9.8,36.4,7.4,37.3,3.5,10.2,8.6,13.5,15.3,15.6,19,4.3,19141,M,9640,9501,5.1,84.1,8.9,0.4,0.1,0,14044,39863,23754,3398,28.3,30.9,16.9,17.7,16,18.4,84.4,9.8,0,1.3,1.3,3.2,27.1,47.53,7555,76.8,17.2,5.7,0.3,3.4,46701,0.753849879
GA,Georgia,Pike,13231,27.6,9.3,34,7.3,35.4,3,8.6,7.3,12,14.2,13.6,15.6,3.6,17919,F,8817,9102,1.5,86.7,10.3,0,0.2,0,13421,52377,25176,2019,15,33.2,14.1,22.6,14,16,84.3,11.9,0,0.1,0.7,3,33.7,74.45,7456,73.1,21.2,5.6,0.1,3,74905,1.209120258
GA,Georgia,Polk,13233,29.2,9.9,36.4,7.1,36.2,3.5,10.1,8.4,14,15.7,16.2,20.4,4.2,41444,F,20231,21213,13,72,12.7,0,0.7,0,28787,40652,22314,1869,30.3,20.9,15.4,22.8,14.6,26.2,86.8,7.3,0.4,1.2,1.1,3.1,26.2,46.46,17553,81.1,12.8,6,0.1,3.6,47896,0.773139629
GA,Georgia,Pulaski,13235,33.5,10.8,41.4,8.2,38,4.3,11.5,10.1,17.2,16,17.8,22.4,5.5,11396,F,4942,6454,3.6,60,34.7,0.2,0,0,9421,38750,18623,2388,40.5,28,22,22.6,13.4,13.9,87.3,7.4,0,4.1,0,1.2,19.3,32.47,3737,72.4,22.3,5.3,0,3.8,42274,0.682389023
GA,Georgia,Putnam,13237,32.3,9.7,40.6,8.6,38.6,4,10.3,9.7,15.8,13.5,15.8,17.5,4.9,21430,F,10410,11020,6.6,65.4,26.1,0,0.5,0,16386,48340,27498,2341,23.1,25.6,23,21.9,10.2,19.4,77.1,14.3,0.2,0.9,2.6,4.9,25,50.13,9127,74.9,17.7,7.4,0,4.3,62282,1.005359161
GA,Georgia,Quitman,13239,39.5,11.1,50.5,9.7,42.4,5.5,14,13.2,22.2,15,20.2,25.8,7.4,2140,F,1024,1116,0.6,41.9,50.7,0,5,0.2,1707,26750,18921,2673,46.1,13.7,18.7,28.9,3.3,35.4,73,22.3,0,0.8,1.9,1.9,21.8,34.3,729,69,21,10,0,5,35522,0.573397902
